Summary,Issue Type,Priority,Labels,Component/s,Description,Acceptance Criteria,Reporter,Assignee,Fix Version/s,Epic Link,Custom Field (Test Step),Custom Field (Expected Result),Custom Field (Module),Custom Field (Test ID)
UAT-01 Community Registration - Open form and sync,Test,High,UAT;Module1;Mobile,Community Registration,"Field Agent opens app syncs over WiFi and navigates to Community Registration Form 1A","Form 1A opens with blank fields",fanja.tester,,MVP-UAT,,Open app > sync over WiFi > tap Community & Beneficiary Registration > Community Registration,Form 1A opens with all fields blank,Module 1,UAT-01-1.1
UAT-01 Community Registration - GPS capture,Test,High,UAT;Module1;Mobile,Community Registration,"Field Agent taps GPS field and stands at community center","Coordinates auto-captured lat/lon populated",fanja.tester,,MVP-UAT,,Tap GPS field > stand at community center,Coordinates auto-captured (lat/lon populated),Module 1,UAT-01-1.3
UAT-01 Community Registration - Mine site lookup,Test,High,UAT;Module1;Mobile,Community Registration,"Field Agent selects Koumba Gold Mine from mine_site lookup table","Dropdown populated from lookup table; selection saved as parent reference",fanja.tester,,MVP-UAT,,Tap mine_site field > select Koumba Gold Mine from dropdown,Dropdown populated from lookup table; selection saved as parent reference,Module 1,UAT-01-1.4
UAT-01 Community Registration - Population validation pass,Test,High,UAT;Module1;Mobile,Community Registration,"Field Agent enters estimated_population=350 and num_households=72","Integers accepted; validation passes",fanja.tester,,MVP-UAT,,Enter estimated_population = 350 and num_households = 72,Values accepted; no validation error,Module 1,UAT-01-1.5
UAT-01 Community Registration - Distance validation pass,Test,Medium,UAT;Module1;Mobile,Community Registration,"Field Agent enters distance_from_mine_km=12.5","Decimal accepted; validation passes (0.1-500)",fanja.tester,,MVP-UAT,,Enter distance_from_mine_km = 12.5,Decimal accepted; validation passes (0.1–500),Module 1,UAT-01-1.6
UAT-01 Community Registration - Multi-select livelihoods,Test,Medium,UAT;Module1;Mobile,Community Registration,"Field Agent selects farming and fishing as primary livelihoods","Both values saved correctly",fanja.tester,,MVP-UAT,,Select primary_livelihoods: farming + fishing,Both values saved,Module 1,UAT-01-1.7
UAT-01 Community Registration - Submit and case created,Test,Critical,UAT;Module1;Mobile,Community Registration,"Field Agent submits form; community case created in CommCare","Community case created; registration_date auto-set to today; visible in supervisor dashboard",fanja.tester,,MVP-UAT,,Complete all fields > tap Submit,Community case created in CommCare; registration_date = today,Module 1,UAT-01-1.11
UAT-01 Community Registration - Negative: population zero,Test,High,UAT;Module1;Negative,Community Registration,"Field Agent enters estimated_population=0","Validation error displayed; form does not submit",fanja.tester,,MVP-UAT,,Enter estimated_population = 0 > tap Submit,Validation error displayed; form does not submit,Module 1,UAT-01-NEG1
UAT-01 Community Registration - Negative: distance out of range,Test,High,UAT;Module1;Negative,Community Registration,"Field Agent enters distance_from_mine_km=600","Validation error displayed; form does not submit",fanja.tester,,MVP-UAT,,Enter distance_from_mine_km = 600 > tap Submit,Validation error displayed; form does not submit,Module 1,UAT-01-NEG2
UAT-01 Community Registration - Negative: blank community name,Test,High,UAT;Module1;Negative,Community Registration,"Field Agent leaves community_name blank and tries to submit","Form does not submit; required field error shown",fanja.tester,,MVP-UAT,,Leave community_name blank > tap Submit,Required field error; form does not submit,Module 1,UAT-01-NEG3
UAT-02 Beneficiary Registration - Select community and open form,Test,High,UAT;Module1;Mobile,Beneficiary Registration,"Field Agent selects Tsarahonenana from case list and opens Form 1B","Form 1B opens with community pre-selected",fanja.tester,,MVP-UAT,,Tap Beneficiary Registration > select Tsarahonenana from case list,Form 1B opens with community pre-selected,Module 1,UAT-02-2.1
UAT-02 Beneficiary Registration - Age auto-calculation,Test,High,UAT;Module1;Mobile,Beneficiary Registration,"Field Agent enters DOB 15/03/1991; age auto-calculates to 34","age field = 34 calculated from today minus DOB",fanja.tester,,MVP-UAT,,Enter DOB = 15/03/1991,age field auto-calculates to 34,Module 1,UAT-02-2.3
UAT-02 Beneficiary Registration - Vulnerability status display logic,Test,High,UAT;Module1;Mobile,Beneficiary Registration,"vulnerability_status field appears because age >= 5","Field visible; select widow + chronic_illness",fanja.tester,,MVP-UAT,,Enter DOB for age >= 5 > confirm vulnerability_status field appears,vulnerability_status field visible; multi-select works,Module 1,UAT-02-2.5
UAT-02 Beneficiary Registration - Occupation not defaulting to student,Test,Medium,UAT;Module1;Mobile,Beneficiary Registration,"primary_occupation does not default to student for age >= 18","Farmer selected without auto-default to student",fanja.tester,,MVP-UAT,,Enter DOB for age >= 18 > open primary_occupation field,No auto-default to student; farmer selectable,Module 1,UAT-02-2.6
UAT-02 Beneficiary Registration - Case created as child of community,Test,Critical,UAT;Module1;Mobile,Beneficiary Registration,"Submit form; beneficiary case created as child of Tsarahonenana","Beneficiary case created; parent = Tsarahonenana community case",fanja.tester,,MVP-UAT,,Complete all fields > set consent = Yes > Submit,Beneficiary case created as child of Tsarahonenana,Module 1,UAT-02-2.9
UAT-02 Beneficiary Registration - Negative: consent No blocks submit,Test,Critical,UAT;Module1;Negative,Beneficiary Registration,"Field Agent sets consent_given=No and tries to submit","Form does not submit; consent validation error shown",fanja.tester,,MVP-UAT,,Set consent_given = No > tap Submit,Form does not submit; validation error shown,Module 1,UAT-02-NEG1
UAT-02 Beneficiary Registration - Negative: vulnerability hidden for age < 5,Test,Medium,UAT;Module1;Negative,Beneficiary Registration,"vulnerability_status field does NOT appear for age < 5","vulnerability_status field hidden",fanja.tester,,MVP-UAT,,Enter DOB for age < 5 > verify vulnerability_status field,Field not visible,Module 1,UAT-02-NEG2
UAT-03 Health Activity Report - Conditional fields health_education,Test,High,UAT;Module2;Mobile,Health Monitoring,"Select activity_type=health_education; verify health_topic appears and num_children_under5 does not","health_topic visible; num_children_under5 hidden",fanja.tester,,MVP-UAT,,Select activity_type = health_education,health_topic appears; num_children_under5 does NOT appear,Module 2,UAT-03-3.3
UAT-03 Health Activity Report - Conditional fields vaccination,Test,High,UAT;Module2;Mobile,Health Monitoring,"Select activity_type=vaccination; verify num_children_under5 appears","num_children_under5 field visible",fanja.tester,,MVP-UAT,,Select activity_type = vaccination,num_children_under5 field appears,Module 2,UAT-03-3.11
UAT-03 Health Activity Report - Total beneficiaries auto-calc,Test,High,UAT;Module2;Mobile,Health Monitoring,"Enter male=0 female=28; total auto-calculates to 28","num_beneficiaries_total = 28",fanja.tester,,MVP-UAT,,Enter num_beneficiaries_male = 0 and num_beneficiaries_female = 28,num_beneficiaries_total auto-calculates to 28,Module 2,UAT-03-3.6
UAT-03 Health Activity Report - health_visit case created,Test,Critical,UAT;Module2;Mobile,Health Monitoring,"Submit form; health_visit case created under Tsarahonenana","health_visit case created; visible in supervisor dashboard",fanja.tester,,MVP-UAT,,Complete all fields > Submit,health_visit case created as child of Tsarahonenana,Module 2,UAT-03-3.10
UAT-03 Health Activity Report - Negative: date > 30 days past,Test,High,UAT;Module2;Negative,Health Monitoring,"Enter activity_date = 31 days ago","Validation error; date not accepted",fanja.tester,,MVP-UAT,,Enter activity_date = 31 days ago > Submit,Validation error displayed,Module 2,UAT-03-NEG1
UAT-04 Health Visit Follow-up - Case auto-closes on completed,Test,Critical,UAT;Module2;Mobile,Health Monitoring,"Set followup_status=completed and submit; health_visit case auto-closes","health_visit case closed; no longer in open case list",fanja.tester,,MVP-UAT,,Select open health_visit > set followup_status = completed > Submit,health_visit case auto-closed,Module 2,UAT-04-4.4
UAT-04 Health Visit Follow-up - Case stays open on ongoing,Test,Medium,UAT;Module2;Mobile,Health Monitoring,"Set followup_status=ongoing; case remains open","Case remains in open case list",fanja.tester,,MVP-UAT,,Set followup_status = ongoing > Submit,Case remains open,Module 2,UAT-04-4.7
UAT-05 Education Activity Report - school_supplies conditional logic,Test,High,UAT;Module3;Mobile,Education Monitoring,"Select education_type=school_supplies; verify scholarship_amount and training_duration_days do not appear","Both conditional fields hidden",fanja.tester,,MVP-UAT,,Select education_type = school_supplies,scholarship_amount and training_duration_days do NOT appear,Module 3,UAT-05-5.2
UAT-05 Education Activity Report - Total students auto-calc,Test,High,UAT;Module3;Mobile,Education Monitoring,"Enter male=22 female=23; total auto-calculates to 45","num_students_total = 45",fanja.tester,,MVP-UAT,,Enter num_students_male = 22 and num_students_female = 23,num_students_total = 45,Module 3,UAT-05-5.5
UAT-05 Education Activity Report - Auto-close on completed,Test,Critical,UAT;Module3;Mobile,Education Monitoring,"Set completion_status=completed; education_activity case auto-closes on submit","Case created and immediately auto-closed",fanja.tester,,MVP-UAT,,Set completion_status = completed > Submit,education_activity case created and immediately auto-closed,Module 3,UAT-05-5.8
UAT-05 Education Activity Report - scholarship_amount appears for scholarship type,Test,Medium,UAT;Module3;Mobile,Education Monitoring,"Select education_type=scholarship; verify scholarship_amount field appears","scholarship_amount field visible",fanja.tester,,MVP-UAT,,Select education_type = scholarship,scholarship_amount field appears,Module 3,UAT-05-5.9
UAT-06 Environmental Monitoring - water_quality conditional fields,Test,High,UAT;Module5;Mobile,Environmental Monitoring,"Select monitoring_type=water_quality; verify water_ph and water_turbidity appear","Both fields visible; reforestation fields hidden",fanja.tester,,MVP-UAT,,Select monitoring_type = water_quality,water_ph and water_turbidity appear; other type fields hidden,Module 5,UAT-06-6.2
UAT-06 Environmental Monitoring - corrective action field appears,Test,High,UAT;Module5;Mobile,Environmental Monitoring,"Set corrective_action_needed=yes; corrective_action_desc appears","corrective_action_desc field visible",fanja.tester,,MVP-UAT,,Set corrective_action_needed = yes,corrective_action_desc field appears,Module 5,UAT-06-6.6
UAT-06 Environmental Monitoring - photo_evidence_1 required,Test,Critical,UAT;Module5;Mobile,Environmental Monitoring,"Submit without photo_evidence_1","Validation error; form does not submit",fanja.tester,,MVP-UAT,,Leave photo_evidence_1 empty > tap Submit,Validation error; photo required,Module 5,UAT-06-6.9
UAT-06 Environmental Monitoring - High risk case stays open,Test,Critical,UAT;Module5;Mobile,Environmental Monitoring,"Submit with risk_level=high; env_monitoring case created and remains open","Case created with risk_level=high; case open",fanja.tester,,MVP-UAT,,Set risk_level = high > Submit,env_monitoring case created and stays OPEN,Module 5,UAT-06-6.10
UAT-06 Environmental Monitoring - Negative: pH out of range,Test,High,UAT;Module5;Negative,Environmental Monitoring,"Enter water_ph=15","Validation error; 0-14 only",fanja.tester,,MVP-UAT,,Enter water_ph = 15 > Submit,Validation error; value must be 0–14,Module 5,UAT-06-NEG1
UAT-07 Grievance Registration - Anonymous reporting allowed,Test,High,UAT;Module6;Mobile,Grievances,"Leave reporter_name blank; form accepts submission","Form accepts blank reporter_name",fanja.tester,,MVP-UAT,,Leave reporter_name blank > complete other fields > Submit,Form accepts blank; grievance created anonymously,Module 6,UAT-07-7.2
UAT-07 Grievance Registration - Description min length validation,Test,High,UAT;Module6;Negative,Grievances,"Enter description with fewer than 20 characters","Validation error; min 20 chars required",fanja.tester,,MVP-UAT,,Enter description < 20 chars > Submit,Validation error; minimum 20 characters required,Module 6,UAT-07-7.4
UAT-07 Grievance Registration - Case created with status open,Test,Critical,UAT;Module6;Mobile,Grievances,"Submit grievance form; case created with resolution_status=open","Grievance case created; resolution_status = open (auto-set)",fanja.tester,,MVP-UAT,,Complete all fields > Submit,Grievance case created; resolution_status = open,Module 6,UAT-07-7.8
UAT-08 Grievance Follow-up - days_to_resolve auto-calculated,Test,High,UAT;Module6;Mobile,Grievances,"Set resolution_status=resolved; days_to_resolve auto-calculates","days_to_resolve = followup_date minus report_date (correct count)",jeanpierre.tester,,MVP-UAT,,Set resolution_status = resolved > verify days_to_resolve field,days_to_resolve correctly calculated,Module 6,UAT-08-8.4
UAT-08 Grievance Follow-up - community_satisfied appears on resolved,Test,High,UAT;Module6;Mobile,Grievances,"Set resolution_status=resolved; community_satisfied field appears","community_satisfied field visible",jeanpierre.tester,,MVP-UAT,,Set resolution_status = resolved,community_satisfied field appears,Module 6,UAT-08-8.3
UAT-08 Grievance Follow-up - Case auto-closes on resolved,Test,Critical,UAT;Module6;Mobile,Grievances,"Submit with resolution_status=resolved; grievance case auto-closes","Grievance case closed; no longer in open list",jeanpierre.tester,,MVP-UAT,,Set resolution_status = resolved > Submit,Grievance case auto-closed,Module 6,UAT-08-8.6
UAT-09 Community Consultation Log - Standalone form no case created,Test,Critical,UAT;Module6;Mobile,Stakeholder Engagement,"Submit Form 6C; verify NO case is created","Form submitted as standalone data; no case in case list",jeanpierre.tester,,MVP-UAT,,Complete Form 6C > Submit,No case created; form data submitted only,Module 6,UAT-09-9.8
UAT-10 Offline Sync - Data captured offline and synced,Test,Critical,UAT;Offline,Offline & Sync,"Enable airplane mode; complete Form 1A; re-enable WiFi; sync","All queued forms submitted; cases created; no data loss",fanja.tester,,MVP-UAT,,Enable airplane mode > complete Form 1A > re-enable WiFi > sync,Cases created post-sync; GPS photos and case properties intact,Cross-Module,UAT-10-10.5
UAT-11 RBAC - Field Agent cannot access web dashboard,Test,Critical,UAT;RBAC,Access Control,"Log in as Field Agent; attempt to access web dashboard","Web dashboard not accessible; mobile app only",fanja.tester,,MVP-UAT,,Log in as Field Agent > attempt to navigate to web dashboard,Web dashboard inaccessible,Cross-Module,UAT-11-11.1
